variavel,importancia
DEFASAGEM,0.18524114135492914
FASE_NUMERICA,0.07456745142910352
IDADE,0.06159342360015777
INDE,0.04321285988463176
IPV,0.017973245141012867
IPS,0.016018453244478797
ANOS_NA_PM,0.0077216705691988356
GENERO,0.005364021579788691
IEG,0.005106050128548334
INSTITUICAO_ENSINO,0.001811685987774142
QUALIDADE_REGISTRO,0.0005853661821121958
IAN,0.0
IDA,-0.003554805566432151
IAA,-0.004408516852466992
