,IAN,IDA,IEG,IAA,IPS,IPP,IPV,INDE
IAN,1.0,0.11766223165273715,0.07566240330597976,0.03322985467261183,0.050272684878336804,0.13099324051026023,0.16075892013830304,0.4190786596678515
IDA,0.11766223165273715,1.0,0.49834810345475405,0.150974615931391,0.08496572587255906,0.38393240303948495,0.5621983173447614,0.7772469187309702
IEG,0.07566240330597976,0.49834810345475405,1.0,0.18076447119270925,0.01639837836784288,0.3655117480930133,0.5459235054470675,0.7129809726026757
IAA,0.03322985467261183,0.150974615931391,0.18076447119270925,1.0,0.11111108723032409,0.06739188693387689,0.1176926621025489,0.364803687746378
IPS,0.050272684878336804,0.08496572587255906,0.01639837836784288,0.11111108723032409,1.0,0.02764683241570802,0.02340273054516942,0.2636794634370053
IPP,0.13099324051026023,0.38393240303948495,0.3655117480930133,0.06739188693387689,0.02764683241570802,1.0,0.5956861121009004,0.5281209258460733
IPV,0.16075892013830304,0.5621983173447614,0.5459235054470675,0.1176926621025489,0.02340273054516942,0.5956861121009004,1.0,0.698376606868455
INDE,0.4190786596678515,0.7772469187309702,0.7129809726026757,0.364803687746378,0.2636794634370053,0.5281209258460733,0.698376606868455,1.0
