ANO_REFERENCIA,IAN,IDA,IEG,IAA,IPS,IPP,IPV,INDE
2022,6.597222222222222,6.667735042735043,8.491025641025642,8.476495726495726,6.925854700854702,,7.568288461538462,7.381747863247863
2023,7.083333333333333,6.775225225225225,8.737162162162162,6.755210643015521,4.984533333333333,7.707136824324325,8.07064752252027,7.358370410088036
2024,8.247863247863247,6.220937263794407,7.512207561970086,8.511657596371883,6.692386621315192,7.5070979780770974,7.297718065006802,7.383331969691309
